rocket,payloads,launchpad,cores,flight_number,date_utc,date,PayloadMass
5e9d0d95eda69973a809d1ec,5eb0e4beb6c3bb0006eeb1fe,5e9e4502f509092b78566f87,"{'core': '5e9e28a1f3591842fa3b263c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",26,2016-01-17T15:42:00.000Z,2016-01-17,553.0
5e9d0d95eda69973a809d1ec,5eb0e4beb6c3bb0006eeb1ff,5e9e4501f509094ba4566f84,"{'core': '5e9e28a1f359188def3b263d', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",27,2016-03-04T23:35:00.000Z,2016-03-04,5271.0
5e9d0d95eda69973a809d1ec,5eb0e4bfb6c3bb0006eeb200,5e9e4501f509094ba4566f84,"{'core': '5e9e28a2f359182d0b3b263e', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",28,2016-04-08T20:43:00.000Z,2016-04-08,3136.0
5e9d0d95eda69973a809d1ec,5eb0e4bfb6c3bb0006eeb201,5e9e4501f509094ba4566f84,"{'core': '5e9e28a2f35918077b3b263f', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",29,2016-05-06T05:21:00.000Z,2016-05-06,4696.0
5e9d0d95eda69973a809d1ec,5eb0e4bfb6c3bb0006eeb202,5e9e4501f509094ba4566f84,"{'core': '5e9e28a2f3591845c73b2640', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",30,2016-05-27T21:39:00.000Z,2016-05-27,3100.0
5e9d0d95eda69973a809d1ec,5eb0e4c0b6c3bb0006eeb205,5e9e4501f509094ba4566f84,"{'core': '5e9e28a2f359187f273b2642', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",32,2016-07-18T04:45:00.000Z,2016-07-18,2257.0
5e9d0d95eda69973a809d1ec,5eb0e4c1b6c3bb0006eeb206,5e9e4501f509094ba4566f84,"{'core': '5e9e28a2f35918b8243b2643', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",33,2016-08-14T05:26:00.000Z,2016-08-14,4600.0
5e9d0d95eda69973a809d1ec,5eb0e4c1b6c3bb0006eeb207,5e9e4501f509094ba4566f84,"{'core': '5e9e28a2f359187ee83b2644', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': None, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",34,2016-09-01T13:07:00.000Z,2016-09-01,5500.0
5e9d0d95eda69973a809d1ec,5eb0e4c2b6c3bb0006eeb208,5e9e4502f509092b78566f87,"{'core': '5e9e28a3f359189e3a3b2645', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",35,2017-01-14T17:54:00.000Z,2017-01-14,9600.0
5e9d0d95eda69973a809d1ec,5eb0e4c3b6c3bb0006eeb209,5e9e4502f509094188566f88,"{'core': '5e9e28a3f3591829dc3b2646', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",36,2017-02-19T14:39:00.000Z,2017-02-19,2490.0
5e9d0d95eda69973a809d1ec,5eb0e4c3b6c3bb0006eeb20a,5e9e4502f509094188566f88,"{'core': '5e9e28a3f3591878473b2647', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",37,2017-03-16T06:00:00.000Z,2017-03-16,5600.0
5e9d0d95eda69973a809d1ec,5eb0e4c3b6c3bb0006eeb20b,5e9e4502f509094188566f88,"{'core': '5e9e28a2f359182d0b3b263e', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",38,2017-03-30T22:27:00.000Z,2017-03-30,5300.0
5e9d0d95eda69973a809d1ec,5eb0e4c3b6c3bb0006eeb20c,5e9e4502f509094188566f88,"{'core': '5e9e28a3f3591811f83b2648', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",39,2017-05-01T11:15:00.000Z,2017-05-01,8028.741946308725
5e9d0d95eda69973a809d1ec,5eb0e4c3b6c3bb0006eeb20d,5e9e4502f509094188566f88,"{'core': '5e9e28a3f359186f3f3b2649', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",40,2017-05-15T23:21:00.000Z,2017-05-15,6070.0
5e9d0d95eda69973a809d1ec,5eb0e4c4b6c3bb0006eeb20e,5e9e4502f509094188566f88,"{'core': '5e9e28a3f3591856803b264a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",41,2017-06-03T21:07:00.000Z,2017-06-03,2708.0
5e9d0d95eda69973a809d1ec,5eb0e4c4b6c3bb0006eeb20f,5e9e4502f509094188566f88,"{'core': '5e9e28a3f359189e3a3b2645', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",42,2017-06-23T19:10:00.000Z,2017-06-23,3669.0
5e9d0d95eda69973a809d1ec,5eb0e4c4b6c3bb0006eeb210,5e9e4502f509092b78566f87,"{'core': '5e9e28a3f3591801cf3b264b', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",43,2017-06-25T20:25:00.000Z,2017-06-25,9600.0
5e9d0d95eda69973a809d1ec,5eb0e4c4b6c3bb0006eeb211,5e9e4502f509094188566f88,"{'core': '5e9e28a4f3591850cc3b264c', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",44,2017-07-05T23:35:00.000Z,2017-07-05,6761.0
5e9d0d95eda69973a809d1ec,5eb0e4c4b6c3bb0006eeb212,5e9e4502f509094188566f88,"{'core': '5e9e28a4f3591884ee3b264d', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",45,2017-08-14T16:31:00.000Z,2017-08-14,2910.0
5e9d0d95eda69973a809d1ec,5eb0e4c4b6c3bb0006eeb213,5e9e4502f509092b78566f87,"{'core': '5e9e28a4f359182d843b264e', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",46,2017-08-24T18:50:00.000Z,2017-08-24,475.0
5e9d0d95eda69973a809d1ec,5eb0e4c5b6c3bb0006eeb214,5e9e4502f509094188566f88,"{'core': '5e9e28a4f3591845123b264f', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",47,2017-09-07T13:50:00.000Z,2017-09-07,4990.0
5e9d0d95eda69973a809d1ec,5eb0e4c5b6c3bb0006eeb215,5e9e4502f509092b78566f87,"{'core': '5e9e28a4f3591843103b2650', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",48,2017-10-09T12:37:00.000Z,2017-10-09,9600.0
5e9d0d95eda69973a809d1ec,5eb0e4c5b6c3bb0006eeb216,5e9e4502f509094188566f88,"{'core': '5e9e28a3f3591829dc3b2646', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",49,2017-10-11T22:53:00.000Z,2017-10-11,5200.0
5e9d0d95eda69973a809d1ec,5eb0e4c5b6c3bb0006eeb217,5e9e4502f509094188566f88,"{'core': '5e9e28a4f359185cc03b2651', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",50,2017-10-30T19:34:00.000Z,2017-10-30,3700.0
5e9d0d95eda69973a809d1ec,5eb0e4c5b6c3bb0006eeb218,5e9e4501f509094ba4566f84,"{'core': '5e9e28a3f3591856803b264a', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",51,2017-12-15T15:36:00.000Z,2017-12-15,2205.0
5e9d0d95eda69973a809d1ec,5eb0e4c6b6c3bb0006eeb219,5e9e4502f509092b78566f87,"{'core': '5e9e28a3f3591801cf3b264b', 'flight': 2, 'gridfins': True, 'legs': False, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",52,2017-12-23T01:27:23.000Z,2017-12-23,9600.0
5e9d0d95eda69973a809d1ec,5eb0e4c6b6c3bb0006eeb21a,5e9e4501f509094ba4566f84,"{'core': '5e9e28a4f35918345e3b2652', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",53,2018-01-08T01:00:00.000Z,2018-01-08,8028.741946308725
